Player ID 	lname fname
ayalb002	Ayala Bobby
ayall001	Ayala Luis
aybae001	Aybar Erick
aybam001	Aybar Manny
aybaw001	Aybar Willy
aydej101	Aydelott Jake
ayeru901	Ayers A.D.
ayerb101	Ayers Bill
ayerd101	Ayers Doc
aylwd101	Aylward Dick
ayrab001	Ayrault Bob
ayraj001	Ayrault Joe
azcuj101	Azcue Joe
azoco001	Azocar Oscar
babbc101	Babb Charlie
babcb101	Babcock Bob
babel101	Babe Loren
babij101	Babich Johnny
babic101	Babington Charlie
babis101	Babitt Shooty
backb001	Backe Brandon
backl101	Backman Les
backw001	Backman Wally
bacoe101	Bacon Eddie
bacsm001	Bacsik Michael
bacsm101	Bacsik Mike
baczf101	Baczewski Fred
badeb001	Badenhop Burke
badea101	Bader Art
badek101	Bader King
badgr101	Badgro Red
baece101	Baecht Ed
baekc001	Baek Cha-Seung
baerc001	Baerga Carlos
baezb001	Baez Benito
baezd001	Baez Danys
baezj001	Baez Javier
baezj101	Baez Jose
baezk001	Baez Kevin
baezp001	Baez Pedro
bagbj101	Bagby Jim
bagbj102	Bagby Jim
begle101	Bagley Ed
beglg101	Bagley Gene
bagwb101	Bagwell Bill
bagwj001	Bagwell Jeff
bahns101	Bahnsen Stan
bahre101	Bahr Ed
bahrf101	Bahret Frank
baicg101	Baichley Grover
bails001	Bailes Scott
baila001	Bailey Andrew
bailb101	Bailey Bill
bailb102	Bailey Bill
bailb103	Bailey Bob
bailb801	Bailey Buddy
bailc001	Bailey Cory
baile101	Bailey Ed
bailf101	Bailey Fred
bailg101	Bailey Gene
bailh102	Bailey Harvey
bailh001	Bailey Homer
bailh101	Bailey Howard
bailj001	Bailey Jeff
bailj101	Bailey Jim
bailk101	Bailey King
bailm001	Bailey Mark
bailr001	Bailey Roger
bails102	Bailey Steve
bails101	Bailey Sweetbread
bailb001	Bailor Bob
bainl101	Bain Loren
bainh001	Baines Harold
baird001	Bair Doug
baira101	Baird Al
bairb101	Baird Bob
baird101	Baird Doug
bairj901	Baird John
baisj001	Baisley Jeff
bajej001	Bajenaru Jeff
baked103	Bakenhaster Dave
bakea101	Baker Al
bakeb101	Baker Bill
bakeb102	Baker Bock
bakec901	Baker Charles
bakec102	Baker Charlie
bakec101	Baker Chuck
baked101	Baker Dave
baked102	Baker Del
baked001	Baker Doug
baked002	Baker Dusty
bakee101	Baker Ernie
bakef103	Baker Floyd
bakef104	Baker Frank
bakef101	Baker Frank
bakeg101	Baker Gene
bakeg102	Baker George
bakef102	Baker Home Run
bakeh101	Baker Howard
bakej103	Baker Jack
bakej001	Baker Jeff
bakej101	Baker Jesse
bakej104	Baker Jesse
bakej002	Baker John
bakej902	Baker Jordan
bakek101	Baker Kirtley
baken102	Baker Neal
baken101	Baker Norm
bakep101	Baker Phil
bakes001	Baker Scott
bakes002	Baker Scott
bakes101	Baker Steve
baket103	Baker Tom
baket102	Baker Tom
baket101	Baker Tracy
bakej102	Bakley Jersey
bakop001	Bako Paul
balam101	Balas Mike
balaj101	Balaz John
balbs001	Balboni Steve
balcb101	Balcena Bobby
baldr001	Baldelli Rocco
baldj101	Baldschun Jack
baldb101	Baldwin Billy
baldd101	Baldwin Dave
baldf101	Baldwin Frank
baldh101	Baldwin Harry
baldh102	Baldwin Henry
baldj002	Baldwin James
baldj001	Baldwin Jeff
baldk101	Baldwin Kid
baldl101	Baldwin Lady
baldm101	Baldwin Mark
baldo101	Baldwin Orson
baldr102	Baldwin Reggie
baldr101	Baldwin Rick
balej001	Bale John
balem101	Balenti Mike
balew001	Balentien Wladimir
balel101	Bales Lee
balec001	Balester Collin
balfg001	Balfour Grant
balla101	Ball Art
ballj003	Ball Jeff
ballj101	Ball Jim
balln101	Ball Neal
balll901	Ballanfant Lee
ballj002	Ballard Jeff
ballp101	Ballenger Pelham
ballj001	Baller Jay
ballf901	Ballina Frank
ballm101	Ballinger Mark
ballw101	Ballou Win
balst101	Balsamo Tony
balsd801	Balsley Darren
bambg101	Bamberger George
bambh101	Bamberger Hal
bancs101	Bancker Studs
bancd101	Bancroft Dave
bancf801	Bancroft Frank
bandc001	Bando Chris
bands101	Bando Sal
bandj001	Bandy Jett
banee101	Bane Eddie
baned101	Baney Dick
banij001	Banister Jeff
bankd101	Bankhead Dan
banks001	Bankhead Scott
bankb001	Banks Brian
banke101	Banks Ernie
bankg101	Banks George
bankj001	Banks Josh
bankw001	Banks Willie
bankb101	Bankston Bill
bankw002	Bankston Wes
bannj102	Banning Jim
banna001	Bannister Alan
bannb001	Bannister Brian
bannf001	Bannister Floyd
bannj101	Bannon Jimmy
bannt101	Bannon Tom
bantj101	Banta Jack
bantb001	Bantz Brandon
banum001	Banuelos Manny
baptt001	Baptist Travis
barar001	Barajas Rod
barbw101	Barbare Walter
barbr101	Barbary Red
barbj101	Barbeau Jap
barbd101	Barbee Dave
barbb002	Barber Brian
barbc101	Barber Charlie
barbs901	Barber Sean
barbs102	Barber Steve
barbs101	Barber Steve
barbt101	Barber Turner
barbf101	Barberich Frank
barbb001	Barberie Bret
barbj102	Barbieri Jim
barcl001	Barcelo Lorenzo
barcc101	Barclay Curt
barcg101	Barclay George
bardd001	Bard Daniel
bardj001	Bard Josh
bardb001	Barden Brian
barer101	Bare Ray
barfj001	Barfield Jesse
barfj002	Barfield John
barfj003	Barfield Josh
barfc101	Barfoot Clyde
bargg001	Bargar Greg
bargc101	Barger Cy
barkb001	Bark Brian
barka101	Barker Al
barkg001	Barker Glen
barkk001	Barker Kevin
barkl001	Barker Len
barkr102	Barker Ray
barkr001	Barker Richie
barks001	Barker Sean
barka001	Barkett Andy
barkb002	Barkley Brian
barkj001	Barkley Jeff
barkr101	Barkley Red
barks101	Barkley Sam
barkl901	Barksdale Lance
barla901	Barlick Al
barlm101	Barlow Mike
barlt101	Barlow Tom
barmb101	Barmes Bruce
barmc001	Barmes Clint
barnb102	Barna Babe
barnc101	Barnabe Charlie
barna001	Barnes Austin
barnb103	Barnes Bill
barnb104	Barnes Bob
barnb002	Barnes Brandon
barnb001	Barnes Brian
barne101	Barnes Eppie
barnf101	Barnes Frank
barnf102	Barnes Frank
barnh101	Barnes Honey
barnj102	Barnes Jesse
barnj001	Barnes John
barnj101	Barnes Junie
barnl001	Barnes Larry
barnl102	Barnes Lute
barnm001	Barnes Matt
barnr104	Barnes Red
barnr101	Barnes Rich
barnr901	Barnes Ron
barnr102	Barnes Ross
barns101	Barnes Sam
barns002	Barnes Scott
barns001	Barnes Skeeter
barnv101	Barnes Virgil
burnj107	Barnett Jack
barnl901	Barnett Larry
barnm801	Barnett Mike
barnd001	Barney Darwin
barne104	Barney Ed
barnr103	Barney Rex
barnc102	Barnhart Clyde
barne103	Barnhart Edgar
barnl101	Barnhart Les
barnt001	Barnhart Tucker
barnv102	Barnhart Vic
barng101	Barnicle George
barnb101	Barnie Billy
barne102	Barnowski Ed
barng901	Barnum George
barnc001	Barnwell Chris
baros001	Barojas Salome
baros002	Baron Steve
barod001	Barone Daniel
barod101	Barone Dick
barrb101	Barr Bob
barrb103	Barr Bob
barrg901	Barr George
barrj101	Barr Jim
barrs102	Barr Scotty
barrs103	Barr Steve
barrk002	Barraclough Kyle
barrc101	Barragan Cuno
barrg101	Barranca German
barra001	Barrett Aaron
barrb102	Barrett Bill
barrb105	Barrett Bill
barrb104	Barrett Bob
barrd101	Barrett Dick
barrf104	Barrett Frank
barrj103	Barrett Jimmy
barru101	Barrett John
barrj106	Barrett Johnny
barrl901	Barrett Lance
barrm101	Barrett Marty
barrm001	Barrett Marty
barrm003	Barrett Michael
barrr101	Barrett Red
barrt901	Barrett Ted
barrt001	Barrett Tim
barrt002	Barrett Tom
barrf101	Barrios Francisco
barrj102	Barrios Jose
barrm002	Barrios Manuel
barry001	Barrios Yhonathan
barrf103	Barron Frank
barrj901	Barron Jim
barrm901	Barron Mark
barrr103	Barron Red
barrt003	Barron Tony
barre801	Barrow Ed
barrc102	Barrows Cuke
barrf102	Barrows Frank
barrd901	Barry Dan
barre101	Barry Ed
barrh101	Barry Hardin
barrj104	Barry Jack
barrj001	Barry Jeff
barrk001	Barry Kevin
barrr102	Barry Rich
barrs901	Barry Scott
barrs101	Barry Shad
barrt101	Barry Tom
barsm901	Barston Mike
bartk001	Bartee Kimera
bartd101	Bartell Dick
bartb103	Barthelson Bob
bartj002	Barthmaier Jimmy
bartj101	Barthold John
bartl101	Bartholomew Les
bartt101	Bartirome Tony
bartj001	Bartlett Jason
bartb102	Bartley Bill
bartb104	Bartley Boyd
barti101	Bartling Irv
bartb101	Barton Bob
bartb001	Barton Brian
bartd001	Barton Daric
barth101	Barton Harry
barts001	Barton Shawn
bartv101	Barton Vince
bartd102	Bartosch Dave
bartc001	Bartosh Cliff
bartc101	Bartson Charlie
barzp001	Barzilla Philip
basac001	Basak Chris
basgm101	Basgall Monty
basha101	Bashang Al
bashw101	Bashore Walt
basis901	Basil Steve
basie101	Basinski Eddie
baskj101	Baskette Jim
basnt901	Basner Toby
bassa001	Bass Anthony
bassb001	Bass Brian
bassd102	Bass Dick
bassd101	Bass Doc
bassj101	Bass John
bassk001	Bass Kevin
bassn101	Bass Norm
bassr101	Bass Randy
bassc101	Bassett Charley
bassc001	Bassitt Chris
bassj102	Bassler Johnny
basta001	Bastardo Antonio
bastc101	Bastian Charlie
baswj901	Baswell Jack
batce101	Batch Emil
batcj101	Batchelder Joe
batcr001	Batchelor Rich
batej102	Bateman John
batea001	Bates Aaron
bateb001	Bates Billy
bateb101	Bates Bud
batec101	Bates Charlie
bated101	Bates Del
bated102	Bates Dick
batef101	Bates Frank
batej001	Bates Jason
batej103	Bates John
batej101	Bates Johnny
bater101	Bates Ray
bathb001	Bathe Bill
batim001	Batista Miguel
batir101	Batista Rafael
batit001	Batista Tony
batik001	Batiste Kevin
batik002	Batiste Kim
batsb101	Batsch Bill
battl101	Battam Larry
battg101	Batten George
batte101	Battey Earl
battj102	Battin Joe
batta001	Battle Allen
batth001	Battle Howard
battj101	Battle Jim
battc101	Batton Chris
battm101	Batts Matt
bauea101	Bauer Al
baueh101	Bauer Hank
bauel101	Bauer Lou
bauer001	Bauer Rick
bauet001	Bauer Trevor
bauer101	Bauers Russ
baugj001	Baughman Justin
baumf102	Baumann Frank
baump101	Baumann Paddy
baumj102	Baumer Jim
baumg101	Baumgardner George
baumr101	Baumgarten Ross
baumh101	Baumgartner Harry
baumj101	Baumgartner John
baums101	Baumgartner Stan
baumf101	Baumholtz Frank
bausg101	Bausewine George
baute101	Bauta Ed
bautd001	Bautista Danny
bautd002	Bautista Denny
bautj001	Bautista Jose
bautj002	Bautista Jose
baxej101	Baxes Jim
baxem101	Baxes Mike
baxtm001	Baxter Mike
baxtj101	Baxter Moose
bay-h101	Bay Harry
bay-j001	Bay Jason
byerb102	Bayer Burley
bayld101	Bayless Dick
baylj001	Bayliss Jonah
bayld001	Baylor Don
baynb101	Bayne Bill
bazay001	Bazardo Yorman
beacj101	Beach Jack
beacb001	Beachy Brandon
beatd102	Beadle Dave
beald901	Beal Damien
bealb101	Beall Bob
bealj101	Beall Johnny
bealw101	Beall Walter
bealt101	Beals Tommy
beama101	Beam Alex
beame101	Beam Ernie
beamt002	Beam T.J.
beamc102	Beamon Charlie
beamc101	Beamon Charlie
beamt001	Beamon Trey
beanb101	Bean Belve
beanb002	Bean Bill
beanc001	Bean Colter
beane901	Bean Ed
beanj101	Bean Joe
beanb001	Beane Billy
beard001	Beard Dave
bearm101	Beard Mike
bearo101	Beard Ollie
bearr101	Beard Ralph
beart101	Beard Ted
bearg102	Bearden Gene
bearj901	Beardsley John
bearg101	Beare Gary
bearl101	Bearnarth Larry
beark001	Bearse Kevin
beasc001	Beasley Chris
beasl101	Beasley Lew
beast801	Beasley Tony
beate101	Beatin Ed
beatp001	Beato Pedro
beatj001	Beattie Jim
beatb001	Beatty Blaine
beatd101	Beatty Desmond
beauj101	Beauchamp Jim
beaug101	Beaumont Ginger
beavb001	Beavan Blake
beave101	Beavens Edward
beazj101	Beazley Johnny
becaw901	Becannon Billy
becab101	Becannon Buck
bechs001	Bechler Steve
bechg101	Bechtel George
beckb901	Beck Bob
beckb104	Beck Boom-Boom
beckc001	Beck Chad
beckc002	Beck Chris
beckc101	Beck Clyde
becke101	Beck Erve
