Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jerry Johnson      R   5   2   1   0   0   0   0   2   0   1   0  .400  .400  .600 
J. Johnson         L   4   0   0   0   0   2   0   3   0   1   0  .000  .333  .000 
Bob Johnson        R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Tom Johnson        R   3   0   0   0   0   0   0   1   1   0   0  .000  .250  .000 
Jeff Jones         R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Odell Jones        R   7   1   1   0   0   1   0   0   0   0   0  .143  .250  .286 
Jim Kaat           L   8   1   0   0   0   0   0   3   0   0   0  .125  .125  .125 
Matt Keough        R  28   9   1   2   0   2   0   3   0   2   1  .321  .355  .500 
Jim Kern           R  16   6   0   1   0   1   0   6   0   2   0  .375  .412  .500 
Brian Kingman      R  13   4   0   0   0   2   0   1   0   0   0  .308  .400  .308 
Don Kirkwood       R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Bruce Kison        R  18   6   2   0   0   1   1   1   0   0   0  .333  .368  .444 
Steve Kline        R   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
Darold Knowles     L   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Jerry Koosman      L  18   5   0   0   0   0   0   3   0   1   0  .278  .278  .278 
Ken Kravec         L   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 
Jack Kucek         R   3   2   0   0   0   2   0   0   0   0   0  .667  .800  .667 
Bob Lacey          L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Lerrin LaGrow      R  15   3   1   0   0   1   0   3   0   0   0  .200  .250  .267 
Ray Lamb           R   7   1   1   0   0   0   0   3   0   0   0  .143  .143  .286 
Dennis Lamp        R   7   2   1   0   0   2   0   1   0   0   0  .286  .444  .429 
Dick Lange         R  10   2   0   0   0   1   0   1   0   0   0  .200  .273  .200 
Rick Langford      R  46  17   0   0   1   3   0   7   0   0   0  .370  .408  .435 
Dave LaRoche       L   5   2   0   0   1   1   0   2   0   0   0  .400  .500 1.000 
Bill Laxton        L   8   1   0   0   0   1   0   1   0   1   0  .125  .222  .125 
Luis Leal          R  17   5   1   0   0   0   0   2   0   0   0  .294  .294  .353 
Dave Lemanczyk     R  22   5   1   0   0   6   0   6   0   0   0  .227  .393  .273 
Dennis Leonard     R  40   9   3   0   0   2   0   6   0   1   0  .225  .262  .300 
Dennis Lewallyn    R   5   3   0   0   0   0   0   2   0   0   0  .600  .600  .600 
