Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Frank Smith        R  11   5   2   0   0   2   0   2   0   0   1  .455  .500  .636 
Warren Spahn       L  12   0   0   0   0   1   0   2   0   0   0  .000  .077  .000 
George Spencer     R   5   2   0   0   0   2   0   1   0   1   0  .400  .571  .400 
Gerry Staley       R  24  10   1   0   0   6   0   0   0   1   0  .417  .533  .458 
Chuck Stobbs       L   7   2   1   0   0   1   0   2   0   0   0  .286  .375  .429 
Max Surkont        R  32  13   1   0   2   3   0   3   0   0   0  .406  .457  .625 
Dizzy Trout        R  57  13   1   0   1   2   0   9   0   0   0  .228  .254  .298 i
Virgil Trucks      R  34   6   0   0   2   3   0   5   0   1   0  .176  .243  .353 
Sandy Ullrich      R  11   5   3   0   0   2   1   1   0   0   0  .455  .538  .727 
Corky Valentine    R  10   1   0   0   0   0   0   1   0   0   0  .100  .100  .100 
Ben Wade           R  14   5   0   0   1   4   0   0   0   1   0  .357  .500  .571 
Herm Wehmeier      R  24   8   1   1   0   5   1   0   0   0   0  .333  .448  .458 
Dick Weik          R   5   2   0   0   0   2   0   2   0   0   0  .400  .571  .400 
Butch Wensloff     R   8   2   0   0   0   0   0   3   0   0   0  .250  .250  .250 i
Lefty West         L   4   2   0   0   0   1   0   1   0   0   0  .500  .600  .500 i
Hal White          R  12   3   0   1   0   0   0   1   0   0   0  .250  .250  .417 i
Hoyt Wilhelm       R  14   2   1   0   0   1   0   1   0   0   0  .143  .200  .214 
Jim Wilson         R  15   4   0   0   0   2   0   0   1   0   0  .267  .389  .267 
Walter Wilson      R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Roger Wolff        R  27   5   0   1   0   2   0   5   0   0   0  .185  .241  .259 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Early Wynn         R  28   9   2   0   0   3   0   1   0   0   0  .321  .387  .393 i
Eddie Yuhas        R   4   2   0   0   0   1   0   1   0   0   0  .500  .600  .500 
Sam Zoldak         L   4   1   0   0   0   2   0   0   0   0   0  .250  .500  .250 i
Bill Zuber         R  22  10   2   1   0   0   0   3   0   0   0  .455  .455  .636 i
